# time,value,value,avg
1255,523,442,483
1260,547,461,504
1265,480,474,477
1270,573,477,525
1275,478,489,484
1280,505,420,463
1285,480,518,499
1290,504,466,485
1295,506,537,522
1300,495,463,479
1305,512,484,498
1310,498,479,489
1315,505,465,485
1320,510,487,499
1325,525,483,504
1330,511,496,504
1335,522,486,504
1340,504,509,507
1345,539,473,506
1350,507,487,497
1355,529,482,506
1360,523,528,526
1365,512,459,486
1370,515,487,501
1375,459,476,468
1380,505,476,491
1385,514,432,473
1390,499,467,483
1395,513,464,489
1400,477,491,484
1405,486,502,494
1410,462,495,479
1415,491,476,484
1420,493,475,484
1425,524,426,475
1430,473,456,465
1435,501,435,468
1440,519,431,475
1445,555,461,508
1450,510,431,471
1455,508,483,496
1460,538,483,511
1465,516,463,490
1470,497,452,475
1475,549,486,518
1480,522,504,513
1485,536,452,494
1490,519,444,482
1495,482,404,443
1500,454,423,439
1505,502,441,472
1510,481,447,464
1515,525,387,456
1520,530,439,485
1525,489,430,460
1530,542,437,490
1535,524,402,463
1540,478,420,449
1545,498,403,451
1550,484,397,441
1555,534,433,484
1560,522,404,463
1565,507,517,512
1570,510,502,506
1575,483,487,485
1580,512,524,518
1585,492,491,492
1590,548,480,514
1595,540,515,528
1600,532,451,492
1605,462,482,472
1610,517,476,497
1615,489,466,478
1620,544,523,534
1625,504,420,462
1630,522,449,486
1635,457,501,479
1640,524,488,506
1645,516,461,489
1650,517,454,486
1655,552,470,511
1660,492,463,478
1665,545,490,518
1670,483,472,478
1675,473,504,489
1680,532,490,511
1685,524,463,494
1690,538,526,532
1695,516,503,510
1700,473,506,490
1705,507,502,505
1710,490,465,478
1715,489,472,481
1720,501,497,499
1725,465,465,465
1730,514,481,498
1735,507,467,487
1740,461,481,471
1745,528,431,480
1750,482,537,510
1755,497,479,488
1760,530,506,518
1765,511,497,504
1770,484,445,465
1775,539,480,510
1780,556,459,508
1785,477,456,467
1790,543,485,514
1795,519,468,494
1800,528,484,506
1805,480,457,469
1810,531,469,500
1815,479,447,463
1820,514,418,466
1825,499,490,495
1830,474,476,475
1835,486,457,472
1840,487,478,483
1845,472,499,486
1850,477,467,472
1855,508,472,490
1860,509,414,462
1865,499,447,473
1870,533,487,510
1875,506,443,475
1880,451,489,470
1885,502,470,486
1890,494,458,476
1895,497,402,450
1900,480,485,483
1905,504,502,503
1910,524,464,494
1915,461,454,458
1920,481,446,464
1925,514,444,479
1930,539,450,495
1935,478,495,487
1940,501,494,498
1945,491,469,480
1950,452,519,486
1955,476,464,470
1960,492,467,480
1965,500,499,500
1970,478,523,501
1975,524,475,500
1980,554,498,526
1985,464,496,480
1990,508,515,512
1995,517,453,485
2000,449,490,470
2005,484,474,479
2011,431,509,470
2016,561,523,542
2021,494,462,478
2026,546,491,519
2031,487,504,496
2036,506,488,497
2041,500,508,504
2046,487,461,474
2051,490,463,477
2056,501,459,480
2061,492,488,490
2066,510,489,500
2071,493,499,496
2076,480,469,475
2081,500,439,470
2086,484,529,507
2091,499,519,509
2096,505,442,474
2101,500,521,511
2106,494,470,482
2111,473,478,476
2116,519,482,501
2121,492,449,471
2126,470,488,479
2131,474,494,484
2136,547,428,488
2141,488,453,471
2146,474,450,462
2151,509,438,474
2156,495,466,481
2161,509,454,482
2166,476,474,475
2171,487,501,494
2176,508,480,494
2181,488,489,489
2186,520,500,510
2191,466,508,487
2196,502,454,478
2201,482,483,483
2206,506,512,509
2211,492,463,478
2216,514,502,508
2221,501,478,490
2226,466,442,454
2231,506,500,503
2236,487,475,481
2241,521,517,519
2246,469,497,483
2251,508,481,495
2256,486,455,471
2261,476,518,497
2266,513,444,479
2271,511,460,486
2276,477,460,469
2281,499,469,484
2286,486,490,488
2291,508,467,488
2296,486,485,486
2301,492,444,468
2306,511,447,479
2311,496,505,501
2316,438,461,450
2321,530,496,513
2326,457,456,457
2331,519,527,523
2336,543,510,527
2341,500,502,501
2346,475,498,487
2351,492,458,475
2356,475,501,488
2361,512,482,497
2366,497,515,506
2371,461,524,493
2376,523,478,501
2381,524,489,507
2386,497,491,494
2391,498,500,499
2396,472,490,481
2401,510,461,486
2406,489,473,481
2411,503,475,489
2416,479,428,454
2421,430,451,441
2426,531,433,482
2431,527,453,490
2436,504,463,484
2441,475,436,456
2446,513,459,486
2451,504,452,478
2456,439,452,446
2461,490,426,458
2466,508,458,483
2471,534,499,517
2476,504,487,496
2481,462,506,484
2486,503,481,492
2491,515,466,491
2496,503,491,497
2501,458,456,457
2506,487,476,482
2511,548,484,516
2516,491,462,477
2521,496,513,505
2526,490,467,479
2531,458,499,479
2536,487,480,484
2541,493,497,495
2546,470,462,466
2551,504,463,484
2556,536,417,477
2561,518,491,505
2566,487,503,495
2571,449,462,456
2576,494,458,476
2581,513,531,522
2586,533,455,494
2591,470,484,477
2596,522,460,491
2601,497,476,487
2606,428,490,459
2611,466,456,461
2616,487,494,491
2621,546,453,500
2626,524,470,497
2631,514,447,481
2636,496,493,495
2641,483,450,467
2646,502,500,501
2651,500,456,478
2656,503,492,498
2661,483,464,474
2666,504,496,500
2671,485,422,454
2676,479,486,483
2681,493,511,502
2686,520,432,476
2691,489,519,504
2696,422,506,464
2701,542,549,546
2706,485,515,500
2711,519,516,518
2716,490,463,477
2721,514,480,497
2726,480,456,468
2731,501,469,485
2736,489,467,478
2741,511,466,489
2746,502,470,486
2751,500,455,478
2756,481,493,487
2761,499,447,473
2766,472,480,476
2771,487,474,481
2776,504,481,493
2781,516,512,514
2786,503,490,497
2791,488,481,485
2796,491,468,480
2801,452,447,450
2806,523,483,503
2811,485,479,482
2816,444,480,462
2821,514,480,497
2826,541,472,507
2831,521,460,491
2836,488,477,483
2841,476,435,456
2846,505,513,509
2851,495,505,500
2856,506,481,494
2861,494,517,506
2866,484,504,494
2871,485,523,504
2876,501,453,477
2881,474,480,477
2886,474,464,469
2891,502,519,511
2896,534,502,518
2901,491,496,494
2906,495,478,487
2911,440,544,492
2916,536,481,509
2921,510,459,485
2926,474,475,475
2931,462,474,468
2936,514,446,480
2941,480,557,519
2946,504,495,500
2951,499,456,478
2956,523,517,520
2961,518,471,495
2966,505,465,485
2971,458,478,468
2976,532,539,536
2981,468,479,474
2986,484,475,480
2991,517,479,498
2996,483,447,465
3001,463,474,469
3006,530,477,504
3011,499,480,490
3016,505,482,494
3021,472,415,444
3026,497,478,488
3031,511,479,495
3036,495,503,499
3041,499,510,505
3046,464,472,468
3051,514,441,478
3056,520,494,507
3061,482,421,452
3066,501,462,482
3071,482,452,467
3076,479,461,470
3081,502,384,443
3086,475,415,445
3091,542,438,490
3096,492,523,508
3101,491,403,447
3106,498,470,484
3111,497,418,458
3116,461,478,470
3121,506,415,461
3126,480,437,459
3131,535,459,497
3136,463,413,438
3141,474,455,465
3146,543,422,483
3151,481,409,445
3156,496,444,470
3161,501,476,489
3166,471,451,461
3171,505,482,494
3176,514,446,480
3181,492,551,522
3186,503,505,504
3191,491,496,494
3196,482,506,494
3201,514,523,519
3206,478,458,468
3211,507,469,488
3216,492,523,508
3221,456,443,450
3226,506,500,503
3231,477,464,471
3236,533,485,509
3241,503,520,512
3246,489,487,488
3251,481,454,468
3256,513,493,503
3261,470,460,465
3266,525,531,528
3271,494,483,489
3276,492,542,517
3281,483,503,493
3286,470,490,480
3291,522,448,485
3296,459,474,467
3301,503,528,516
3306,463,504,484
3311,492,465,479
3316,497,453,475
3321,507,475,491
3326,455,453,454
3331,461,501,481
3336,508,498,503
3341,497,492,495
3346,486,480,483
3351,520,488,504
3356,516,504,510
3361,529,498,514
3366,497,505,501
3371,467,498,483
3376,530,488,509
3381,483,514,499
3386,499,488,494
3391,496,459,478
3396,472,466,469
3401,511,510,511
3406,467,473,470
3411,480,469,475
3416,513,529,521
3421,479,527,503
3426,495,515,505
3431,544,502,523
3436,487,475,481
3441,489,473,481
3446,531,496,514
3451,476,460,468
3456,460,469,465
3461,536,522,529
3466,491,530,511
3471,516,507,512
3476,505,492,499
3481,479,527,503
3486,512,501,507
3491,509,464,487
3496,499,515,507
3501,442,423,433
3506,497,437,467
3511,549,437,493
3516,477,428,453
3521,500,465,483
3526,501,483,492
3531,461,418,440
3536,514,436,475
3541,484,452,468
3546,492,443,468
3551,466,457,462
3556,543,418,481
3561,474,459,467
3566,524,409,467
3571,483,487,485
3576,513,458,486
3581,469,456,463
3586,498,457,478
3591,500,495,498
3596,489,489,489
3601,494,468,481
3606,507,507,507
3611,501,473,487
3616,501,466,484
3621,483,476,480
3626,490,424,457
3631,489,454,472
3636,446,448,447
3641,498,449,474
3646,466,487,477
3651,454,468,461
3656,482,498,490
3661,479,443,461
3666,562,426,494
3671,496,378,437
3676,522,419,471
3681,480,482,481
3686,470,452,461
3691,471,471,471
3696,511,471,491
3701,499,425,462
3706,502,451,477
3711,493,502,498
3716,508,494,501
3721,510,450,480
3726,492,485,489
3731,491,502,497
3736,490,486,488
3741,501,474,488
3746,516,450,483
3751,481,471,476
3756,473,489,481
3761,517,444,481
3766,478,513,496
3771,524,493,509
3776,468,499,484
3781,525,507,516
3786,498,497,498
3791,506,428,467
3796,485,467,476
3801,464,440,452
3806,523,490,507
3811,533,439,486
3816,537,472,505
3821,495,465,480
3826,503,467,485
3831,471,501,486
3836,515,442,479
3841,486,476,481
3846,471,447,459
3851,485,466,476
3856,536,450,493
3861,500,512,506
3866,470,429,450
3871,510,464,487
3876,470,470,470
3881,496,457,477
3886,506,427,467
3891,496,483,490
3896,481,485,483
3901,526,472,499
3906,461,421,441
3911,525,453,489
3916,506,449,478
3921,489,409,449
3926,473,454,464
3931,495,482,489
3936,485,397,441
3941,505,451,478
3946,523,439,481
3951,490,433,462
3956,461,455,458
3961,532,438,485
3966,488,446,467
3971,476,476,476
3976,500,477,489
3981,431,448,440
3986,523,474,499
3991,530,484,507
3996,519,447,483
4001,485,472,479
4006,470,515,493
4011,513,442,478
4016,507,451,479
4021,454,451,453
4026,502,447,475
4031,502,459,481
4036,461,434,448
4041,524,435,480
4046,496,459,478
4051,469,478,474
4056,470,475,473
4061,522,461,492
4066,509,449,479
4071,476,471,474
4076,547,480,514
4081,473,483,478
4086,528,453,491
4091,478,469,474
4096,457,421,439
4101,466,347,407
4106,487,370,429
4111,473,392,433
4116,505,371,438
4121,503,363,433
4126,495,399,447
4131,456,389,423
4136,520,382,451
4141,522,383,453
4146,479,377,428
4151,542,377,460
4156,542,393,468
4161,503,377,440
4166,488,381,435
4171,509,411,460
4176,470,352,411
4181,464,422,443
4186,551,421,486
4191,493,445,469
4196,491,411,451
4201,451,396,424
4206,507,393,450
4211,497,380,439
4216,389,424,407
