# time,value,value
1705,103783,103.783
1710,103783,103.783
1715,103783,103.783
1720,103783,103.783
1725,103783,103.783
1730,103783,103.783
1735,103783,103.783
1740,103783,103.783
1745,103783,103.783
1750,103783,103.783
1755,103783,103.783
1760,103783,103.783
1765,103783,103.783
1770,103783,103.783
1775,103783,103.783
1780,103783,103.783
1785,103783,103.783
1790,103783,103.783
1795,103783,103.783
1800,103783,103.783
1805,103783,103.783
1810,103783,103.783
1815,103783,103.783
1820,103783,103.783
1825,103783,103.783
1830,103783,103.783
1835,103783,103.783
1840,103783,103.783
1845,103783,103.783
1850,103783,103.783
1855,103783,103.783
1860,103783,103.783
1865,103783,103.783
1870,103783,103.783
1875,103783,103.783
1880,103783,103.783
1885,103783,103.783
1890,103783,103.783
1895,103783,103.783
1900,103783,103.783
1905,103783,103.783
1910,103783,103.783
1915,103783,103.783
1920,103783,103.783
1925,103783,103.783
1930,103783,103.783
1935,103783,103.783
1940,103783,103.783
1945,103783,103.783
1950,103783,103.783
1955,103783,103.783
1960,103783,103.783
1965,103783,103.783
1970,103783,103.783
1975,103783,103.783
1980,103783,103.783
1985,103783,103.783
1990,103783,103.783
1995,103783,103.783
2000,103783,103.783
2005,103783,103.783
2011,103783,103.783
2016,103783,103.783
2021,103783,103.783
2026,103783,103.783
2031,103783,103.783
2036,103783,103.783
2041,103783,103.783
2046,103783,103.783
2051,103783,103.783
2056,103783,103.783
2061,103783,103.783
2066,103783,103.783
2071,103783,103.783
2076,103783,103.783
2081,103783,103.783
2086,103783,103.783
2091,103783,103.783
2096,103783,103.783
2101,103783,103.783
2106,103783,103.783
2111,103783,103.783
2116,103783,103.783
2121,103783,103.783
2126,103783,103.783
2131,103783,103.783
2136,103783,103.783
2141,103783,103.783
2146,103783,103.783
2151,103783,103.783
2156,103783,103.783
2161,103783,103.783
2166,103783,103.783
2171,103783,103.783
2176,103783,103.783
2181,103783,103.783
2186,103783,103.783
2191,103783,103.783
2196,103783,103.783
2201,103783,103.783
2206,103783,103.783
2211,103783,103.783
2216,103783,103.783
2221,103783,103.783
2226,103783,103.783
2231,103783,103.783
2236,103783,103.783
2241,103783,103.783
2246,103783,103.783
2251,103783,103.783
2256,103783,103.783
2261,103783,103.783
2266,103783,103.783
2271,103783,103.783
2276,103783,103.783
2281,103783,103.783
2286,103783,103.783
2291,103783,103.783
2296,103783,103.783
2301,103783,103.783
2306,103783,103.783
2311,103783,103.783
2316,103783,103.783
2321,103783,103.783
2326,103783,103.783
2331,103783,103.783
2336,103783,103.783
2341,103783,103.783
2346,103783,103.783
2351,103783,103.783
2356,103783,103.783
2361,103783,103.783
2366,103783,103.783
2371,103783,103.783
2376,103783,103.783
2381,103783,103.783
2386,103783,103.783
2391,103783,103.783
2396,103783,103.783
2401,103783,103.783
2406,103783,103.783
2411,103783,103.783
2416,103783,103.783
2421,103783,103.783
2426,103783,103.783
2431,103783,103.783
2436,103783,103.783
2441,103783,103.783
2446,103783,103.783
2451,103783,103.783
2456,103783,103.783
2461,103783,103.783
2466,103783,103.783
2471,103783,103.783
2476,103783,103.783
2481,103783,103.783
2486,103783,103.783
2491,103783,103.783
2496,103783,103.783
2501,103783,103.783
2506,103783,103.783
2511,103783,103.783
2516,103783,103.783
2521,103783,103.783
2526,103783,103.783
2531,103783,103.783
2536,103783,103.783
2541,103783,103.783
2546,103783,103.783
2551,103783,103.783
2556,103783,103.783
2561,103783,103.783
2566,103783,103.783
2571,103783,103.783
2576,103783,103.783
2581,103783,103.783
2586,103783,103.783
2591,103783,103.783
2596,103783,103.783
2601,103783,103.783
2606,103783,103.783
2611,103783,103.783
2616,103783,103.783
2621,103783,103.783
2626,103783,103.783
2631,103783,103.783
2636,103783,103.783
2641,103783,103.783
2646,103783,103.783
2651,103783,103.783
2656,103783,103.783
2661,103783,103.783
2666,103783,103.783
2671,103783,103.783
2676,103783,103.783
2681,103783,103.783
2686,103783,103.783
2691,103783,103.783
2696,103783,103.783
2701,103783,103.783
2706,103783,103.783
2711,103783,103.783
2716,103783,103.783
2721,103783,103.783
2726,103783,103.783
2731,103783,103.783
2736,103783,103.783
2741,103783,103.783
2746,103783,103.783
2751,103783,103.783
2756,103783,103.783
2761,103783,103.783
2766,103783,103.783
2771,103783,103.783
2776,103783,103.783
2781,103783,103.783
2786,103783,103.783
2791,103783,103.783
2796,103783,103.783
2801,103783,103.783
2806,103783,103.783
2811,103783,103.783
2816,103783,103.783
2821,103783,103.783
2826,103783,103.783
2831,103783,103.783
2836,103783,103.783
2841,103783,103.783
2846,103783,103.783
2851,103783,103.783
2856,103783,103.783
2861,103783,103.783
2866,103783,103.783
2871,103783,103.783
2876,103783,103.783
2881,103783,103.783
2886,103783,103.783
2891,103783,103.783
2896,103783,103.783
2901,103783,103.783
2906,103783,103.783
2911,103783,103.783
2916,103783,103.783
2921,103783,103.783
2926,103783,103.783
2931,103783,103.783
2936,103783,103.783
2941,103783,103.783
2946,103783,103.783
2951,103783,103.783
2956,103783,103.783
2961,103783,103.783
2966,103783,103.783
2971,103783,103.783
2976,103783,103.783
2981,103783,103.783
2986,103783,103.783
2991,103783,103.783
2996,103783,103.783
3001,103783,103.783
3006,103783,103.783
3011,103783,103.783
3016,103783,103.783
3021,103783,103.783
3026,103783,103.783
3031,103783,103.783
3036,103783,103.783
3041,103783,103.783
3046,103783,103.783
3051,103783,103.783
3056,103783,103.783
3061,103783,103.783
3066,103783,103.783
3071,103783,103.783
3076,103783,103.783
3081,103783,103.783
3086,103783,103.783
3091,103783,103.783
3096,103783,103.783
3101,103783,103.783
3106,103783,103.783
3111,103783,103.783
3116,103783,103.783
3121,103783,103.783
3126,103783,103.783
3131,103783,103.783
3136,103783,103.783
3141,103783,103.783
3146,103783,103.783
3151,103783,103.783
3156,103783,103.783
3161,103783,103.783
3166,103783,103.783
3171,103783,103.783
3176,103783,103.783
3181,103783,103.783
3186,103783,103.783
3191,103783,103.783
3196,103783,103.783
3201,103783,103.783
3206,103783,103.783
3211,103783,103.783
3216,103783,103.783
3221,103783,103.783
3226,103783,103.783
3231,103783,103.783
3236,103783,103.783
3241,103783,103.783
3246,103783,103.783
3251,103783,103.783
3256,103783,103.783
3261,103783,103.783
3266,103783,103.783
3271,103783,103.783
3276,103783,103.783
3281,103783,103.783
3286,103783,103.783
3291,103783,103.783
3296,103783,103.783
3301,103783,103.783
3306,103783,103.783
3311,103783,103.783
3316,103783,103.783
3321,103783,103.783
3326,103783,103.783
3331,103783,103.783
3336,103783,103.783
3341,103783,103.783
3346,103783,103.783
3351,103783,103.783
3356,103783,103.783
3361,103783,103.783
3366,103783,103.783
3371,103783,103.783
3376,103783,103.783
3381,103783,103.783
3386,103783,103.783
3391,103783,103.783
3396,103783,103.783
3401,103783,103.783
3406,103783,103.783
3411,103783,103.783
3416,103783,103.783
3421,103783,103.783
3426,103783,103.783
3431,103783,103.783
3436,103783,103.783
3441,103783,103.783
3446,103783,103.783
3451,103783,103.783
3456,103783,103.783
3461,103783,103.783
3466,103783,103.783
3471,103783,103.783
3476,103783,103.783
3481,103783,103.783
3486,103783,103.783
3491,103783,103.783
3496,103783,103.783
3501,103783,103.783
3506,103783,103.783
3511,103783,103.783
3516,103783,103.783
3521,103783,103.783
3526,103783,103.783
3531,103783,103.783
3536,103783,103.783
3541,103783,103.783
3546,103783,103.783
3551,103783,103.783
3556,103783,103.783
3561,103783,103.783
3566,103783,103.783
3571,103783,103.783
3576,103783,103.783
3581,103783,103.783
3586,103783,103.783
3591,103783,103.783
3596,103783,103.783
3601,103783,103.783
3606,103783,103.783
3611,103783,103.783
3616,103783,103.783
3621,103783,103.783
3626,103783,103.783
3631,103783,103.783
3636,103783,103.783
3641,103783,103.783
3646,103783,103.783
3651,103783,103.783
3656,103783,103.783
3661,103783,103.783
3666,103783,103.783
3671,103783,103.783
3676,103783,103.783
3681,103783,103.783
3686,103783,103.783
3691,103783,103.783
3696,103783,103.783
3701,103783,103.783
3706,103783,103.783
3711,103783,103.783
3716,103783,103.783
3721,103783,103.783
3726,103783,103.783
3731,103783,103.783
3736,103783,103.783
3741,103783,103.783
3746,103783,103.783
3751,103783,103.783
3756,103783,103.783
3761,103783,103.783
3766,103783,103.783
3771,103783,103.783
3776,103783,103.783
3781,103783,103.783
3786,103783,103.783
3791,103783,103.783
3796,103783,103.783
3801,103783,103.783
3806,103783,103.783
3811,103783,103.783
3816,103783,103.783
3821,103783,103.783
3826,103783,103.783
3831,103783,103.783
3836,103783,103.783
3841,103783,103.783
3846,103783,103.783
3851,103783,103.783
3856,103783,103.783
3861,103783,103.783
3866,103783,103.783
3871,103783,103.783
3876,103783,103.783
3881,103783,103.783
3886,103783,103.783
3891,103783,103.783
3896,103783,103.783
3901,103783,103.783
3906,103783,103.783
3911,103783,103.783
3916,103783,103.783
3921,103783,103.783
3926,103783,103.783
3931,103783,103.783
3936,103783,103.783
3941,103783,103.783
3946,103783,103.783
3951,103783,103.783
3956,103783,103.783
3961,103783,103.783
3966,103783,103.783
3971,103783,103.783
3976,103783,103.783
3981,103783,103.783
3986,103783,103.783
3991,103783,103.783
3996,103783,103.783
4001,103783,103.783
4006,103783,103.783
4011,103783,103.783
4016,103783,103.783
4021,103783,103.783
4026,103783,103.783
4031,103783,103.783
4036,103783,103.783
4041,103783,103.783
4046,103783,103.783
4051,103783,103.783
4056,103783,103.783
4061,103783,103.783
4066,103783,103.783
4071,103783,103.783
4076,103783,103.783
4081,103783,103.783
4086,103783,103.783
4091,103783,103.783
4096,103783,103.783
4101,103783,103.783
4106,103783,103.783
4111,103783,103.783
4116,103783,103.783
4121,103783,103.783
4126,103783,103.783
4131,103783,103.783
4136,103783,103.783
4141,103783,103.783
4146,103783,103.783
4151,103783,103.783
4156,103783,103.783
4161,103783,103.783
4166,103783,103.783
4171,103783,103.783
4176,103783,103.783
4181,103783,103.783
4186,103783,103.783
4191,103783,103.783
4196,103783,103.783
4201,103783,103.783
4206,103783,103.783
4211,103783,103.783
4216,103783,103.783
