# time,value,value,avg
535,50488,50494,50491
540,50986,50989,50988
545,51480,51484,51482
550,51966,51976,51971
555,52469,52471,52470
560,52959,52967,52963
565,53453,53457,53455
570,53953,53946,53950
575,54445,54408,54427
580,54939,54936,54938
585,55434,55437,55436
590,55926,55929,55928
595,56424,56427,56426
600,56910,56910,56910
605,57411,57415,57413
610,57907,57910,57909
615,58401,58403,58402
620,58894,58874,58884
625,59390,59392,59391
630,59880,59841,59861
635,60373,60372,60373
640,60864,60875,60870
645,61362,61369,61366
650,61864,61852,61858
655,62357,62356,62357
660,62850,62849,62850
665,63347,63345,63346
670,63843,63844,63844
675,64334,64336,64335
680,64829,64835,64832
685,65327,65330,65329
690,65823,65824,65824
695,66314,66317,66316
700,66811,66813,66812
705,67299,67307,67303
710,67800,67803,67802
715,68295,68275,68285
720,68748,68794,68771
725,69286,69270,69278
730,69781,69724,69753
735,70267,70258,70263
740,70770,70773,70772
745,71265,71271,71268
750,71762,71740,71751
755,72260,72192,72226
760,72680,72747,72714
765,73250,73233,73242
770,73744,73745,73745
775,74175,74242,74209
780,74735,74738,74737
785,75229,75230,75230
790,75725,75728,75727
795,76216,76223,76220
800,76707,76668,76688
805,77208,77212,77210
810,77702,77707,77705
815,78167,78197,78182
820,78691,78697,78694
825,79185,79186,79186
830,79683,79688,79686
835,80178,80183,80181
840,80673,80678,80676
845,81166,81173,81170
850,81664,81668,81666
855,82158,82157,82158
860,82652,82659,82656
865,83149,83149,83149
870,83628,83645,83637
875,84136,84135,84136
880,84634,84634,84634
885,85128,85133,85131
890,85618,85628,85623
895,86119,86121,86120
900,86613,86616,86615
905,87108,87113,87111
910,87602,87607,87605
915,88093,88103,88098
920,88593,88597,88595
925,89085,89092,89089
930,89550,89587,89569
935,90077,90053,90065
940,90569,90577,90573
945,91065,91070,91068
950,91562,91567,91565
955,92053,92057,92055
960,92549,92528,92539
965,93047,93044,93046
970,93533,93544,93539
975,94035,94037,94036
980,94519,94532,94526
985,95024,95017,95021
990,95521,95524,95523
995,96015,96006,96011
1000,96510,96509,96510
1005,96999,97011,97005
1010,97501,97486,97494
1015,97995,97999,97997
1020,98490,98495,98493
1025,98982,98990,98986
1030,99479,99486,99483
1035,99973,99969,99971
1040,100467,100476,100472
1045,100963,100972,100968
1050,101455,101464,101460
1055,101952,101947,101950
1060,102444,102453,102449
1065,102940,102950,102945
1070,103427,103420,103424
1075,103914,103940,103927
1080,104418,104423,104421
1085,104910,104926,104918
1090,105415,105422,105419
1095,105907,105915,105911
1100,106403,106395,106399
1105,106903,106906,106905
1110,107398,107403,107401
1115,107889,107898,107894
1120,108348,108393,108371
1125,108882,108858,108870
1130,109379,109378,109379
1135,109859,109873,109866
1140,110367,110370,110369
1145,110864,110866,110865
1150,111359,111340,111350
1155,111852,111857,111855
1160,112348,112341,112345
1165,112844,112846,112845
1170,113338,113327,113333
1175,113835,113838,113837
1180,114332,114332,114332
1185,114785,114827,114806
1190,115318,115323,115321
1195,115814,115809,115812
1200,116310,116311,116311
1205,116804,116809,116807
1210,117301,117303,117302
1215,117795,117797,117796
1220,118290,118292,118291
1225,118773,118787,118780
1230,119265,119282,119274
1235,119776,119777,119777
1240,120270,120271,120271
1245,120739,120763,120751
1250,121261,121261,121261
1255,121756,121758,121757
1260,122251,122232,122242
1265,122735,122748,122742
1270,123241,123242,123242
1275,123737,123738,123738
1280,124230,124232,124231
1285,124718,124728,124723
1290,125206,125217,125212
1295,125717,125718,125718
1300,126197,126210,126204
1305,126701,126705,126703
1310,127203,127201,127202
1315,127698,127688,127693
1320,128193,128190,128192
1325,128684,128684,128684
1330,129180,129181,129181
1335,129679,129676,129678
1340,130154,130164,130159
1345,130655,130662,130659
1350,131162,131159,131161
1355,131658,131652,131655
1360,132151,132147,132149
1365,132647,132634,132641
1370,133142,133101,133122
1375,133634,133633,133634
1380,134133,134107,134120
1385,134627,134619,134623
1390,135109,135114,135112
1395,135616,135610,135613
1400,136089,136109,136099
1405,136609,136600,136605
1410,137091,137041,137066
1415,137597,137594,137596
1420,138094,138090,138092
1425,138589,138584,138587
1430,139083,139080,139082
1435,139566,139570,139568
1440,140055,140065,140060
1445,140569,140564,140567
1450,141059,141054,141057
1455,141559,141551,141555
1460,142055,142048,142052
1465,142549,142498,142524
1470,143043,143038,143041
1475,143537,143535,143536
1480,144034,144028,144031
1485,144527,144522,144525
1490,144996,145017,145007
1495,145517,145489,145503
1500,146009,146002,146006
1505,146487,146494,146491
1510,147005,146997,147001
1515,147484,147494,147489
1520,147996,147942,147969
1525,148491,148485,148488
1530,148983,148980,148982
1535,149480,149475,149478
1540,149975,149964,149970
1545,150469,150464,150467
1550,150967,150942,150955
1555,151461,151452,151457
1560,151954,151943,151949
1565,152451,152445,152448
1570,152926,152939,152933
1575,153439,153435,153437
1580,153933,153929,153931
1585,154424,154421,154423
1590,154923,154916,154920
1595,155416,155412,155414
1600,155915,155908,155912
1605,156408,156402,156405
1610,156906,156897,156902
1615,157401,157392,157397
1620,157896,157889,157893
1625,158393,158384,158389
1630,158881,158879,158880
1635,159378,159374,159376
1640,159876,159871,159874
1645,160277,160363,160320
1650,160865,160859,160862
1655,161362,161351,161357
1660,161852,161851,161852
1665,162351,162346,162349
1670,162849,162842,162846
1675,163343,163336,163340
1680,163839,163830,163835
1685,164335,164326,164331
1690,164832,164821,164827
1695,165325,165307,165316
1700,165816,165809,165813
1705,166302,166303,166303
1710,166809,166799,166804
1715,167306,167292,167299
1720,167801,167787,167794
1725,168295,168283,168289
1730,168794,168777,168786
1735,169286,169271,169279
1740,169775,169767,169771
1745,170278,170259,170269
1750,170774,170757,170766
1755,171266,171251,171259
1760,171762,171745,171754
1765,172253,172235,172244
1770,172753,172710,172732
1775,173218,173231,173225
1780,173744,173723,173734
1785,174229,174220,174225
1790,174731,174714,174723
1795,175228,175207,175218
1800,175725,175705,175715
1805,176220,176198,176209
1810,176714,176696,176705
1815,177206,177190,177198
1820,177704,177684,177694
1825,178186,178180,178183
1830,178693,178675,178684
1835,179188,179171,179180
1840,179672,179665,179669
1845,180177,180160,180169
1850,180672,180655,180664
1855,181168,181150,181159
1860,181664,181641,181653
1865,182155,182139,182147
1870,182652,182634,182643
1875,183149,183130,183140
1880,183642,183626,183634
1885,184131,184119,184125
1890,184632,184613,184623
1895,185125,185110,185118
1900,185612,185606,185609
1905,186102,186101,186102
1910,186611,186592,186602
1915,187104,187090,187097
1920,187592,187586,187589
1925,188098,188078,188088
1930,188590,188575,188583
1935,189085,189069,189077
1940,189580,189565,189573
1945,190078,190046,190062
1950,190556,190537,190547
1955,191069,191035,191052
1960,191554,191544,191549
1965,192059,192040,192050
1970,192555,192534,192545
1975,193052,193030,193041
1980,193544,193493,193519
1985,194037,194019,194028
1990,194533,194514,194524
1995,195024,195011,195018
2000,195523,195475,195499
2005,196019,195979,195999
2011,196516,196498,196507
2016,196893,196987,196940
2021,197503,197487,197495
2026,197996,197965,197981
2031,198489,198477,198483
2036,198992,198973,198983
2041,199483,199469,199476
2046,199981,199963,199972
2051,200475,200452,200464
2056,200971,200953,200962
2061,201464,201439,201452
2066,201959,201942,201951
2071,202453,202436,202445
2076,202950,202931,202941
2081,203445,203417,203431
2086,203940,203921,203931
2091,204435,204416,204426
2096,204930,204908,204919
2101,205426,205406,205416
2106,205919,205891,205905
2111,206412,206396,206404
2116,206910,206892,206901
2121,207401,207385,207393
2126,207899,207881,207890
2131,208397,208371,208384
2136,208891,208853,208872
2141,209387,209366,209377
2146,209880,209839,209860
2151,210375,210353,210364
2156,210870,210849,210860
2161,211365,211344,211355
2166,211857,211836,211847
2171,212354,212334,212344
2176,212849,212825,212837
2181,213344,213325,213335
2186,213836,213820,213828
2191,214333,214294,214314
2196,214828,214810,214819
2201,215324,215306,215315
2206,215819,215802,215811
2211,216310,216288,216299
2216,216810,216790,216800
2221,217306,217284,217295
2226,217800,217777,217789
2231,218278,218259,218269
2236,218789,218772,218781
2241,219285,219266,219276
2246,219777,219758,219768
2251,220274,220249,220262
2256,220769,220751,220760
2261,221256,221247,221252
2266,221743,221742,221743
2271,222252,222224,222238
2276,222751,222712,222732
2281,223246,223201,223224
2286,223722,223712,223717
2291,224236,224219,224228
2296,224726,224705,224716
2301,225226,225207,225217
2306,225722,225698,225710
2311,226218,226200,226209
2316,226687,226655,226671
2321,227158,227189,227174
2326,227701,227683,227692
2331,228192,228158,228175
2336,228676,228676,228676
2341,229187,229169,229178
2346,229682,229652,229667
2351,230177,230156,230167
2356,230673,230654,230664
2361,231167,231151,231159
2366,231660,231646,231653
2371,232157,232140,232149
2376,232624,232636,232630
2381,233146,233126,233136
2386,233640,233625,233633
2391,234137,234115,234126
2396,234630,234614,234622
2401,235125,235108,235117
2406,235619,235602,235611
2411,236111,236098,236105
2416,236611,236588,236600
2421,237103,237088,237096
2426,237584,237583,237584
2431,238094,238070,238082
2436,238589,238573,238581
2441,239086,239066,239076
2446,239580,239564,239572
2451,240075,240045,240060
2456,240570,240549,240560
2461,241066,241047,241057
2466,241547,241543,241545
2471,242057,242027,242042
2476,242542,242535,242539
2481,243047,243029,243038
2486,243539,243523,243531
2491,244022,244018,244020
2496,244532,244509,244521
2501,245025,245010,245018
2506,245523,245504,245514
2511,246001,245999,246000
2516,246512,246495,246504
2521,247007,246989,246998
2526,247501,247465,247483
2531,247995,247979,247987
2536,248478,248457,248468
2541,248986,248945,248966
2546,249476,249463,249470
2551,249971,249957,249964
2556,250466,250446,250456
2561,250967,250950,250959
2566,251462,251445,251454
2571,251954,251939,251947
2576,252449,252436,252443
2581,252947,252922,252935
2586,253440,253427,253434
2591,253935,253892,253914
2596,254403,254414,254409
2601,254921,254911,254916
2606,255421,255407,255414
2611,255904,255902,255903
2616,256399,256397,256398
2621,256906,256855,256881
2626,257403,257384,257394
2631,257896,257882,257889
2636,258388,258373,258381
2641,258887,258870,258879
2646,259382,259363,259373
2651,259876,259860,259868
2656,260371,260352,260362
2661,260866,260851,260859
2666,261362,261338,261350
2671,261855,261840,261848
2676,262349,262325,262337
2681,262845,262831,262838
2686,263339,263322,263331
2691,263835,263822,263829
2696,264326,264317,264322
2701,264735,264779,264757
2706,265319,265308,265314
2711,265808,265804,265806
2716,266308,266295,266302
2721,266796,266791,266794
2726,267293,267286,267290
2731,267787,267782,267785
2736,268272,268252,268262
2741,268781,268764,268773
2746,269281,269267,269274
2751,269777,269756,269767
2756,270272,270257,270265
2761,270765,270747,270756
2766,271261,271247,271254
2771,271756,271698,271727
2776,272247,272234,272241
2781,272745,272730,272738
2786,273241,273225,273233
2791,273732,273716,273724
2796,274231,274212,274222
2801,274719,274687,274703
2806,275213,275204,275209
2811,275716,275686,275701
2816,276209,276194,276202
2821,276701,276689,276695
2826,277198,277164,277181
2831,277697,277680,277689
2836,278193,278175,278184
2841,278687,278663,278675
2846,279180,279161,279171
2851,279672,279662,279667
2856,280161,280151,280156
2861,280665,280650,280658
2866,281160,281145,281153
2871,281652,281642,281647
2876,282150,282135,282143
2881,282645,282611,282628
2886,283137,283089,283113
2891,283634,283617,283626
2896,284128,284115,284122
2901,284623,284606,284615
2906,285114,285106,285110
2911,285610,285562,285586
2916,286597,286091,286344
2921,287100,286592,286846
2926,287579,287051,287315
2931,288062,287566,287814
2936,288583,288062,288323
2941,289081,288560,288821
2946,289578,289067,289323
2951,290064,289545,289805
2956,290567,290022,290295
2961,291063,290552,290808
2966,291558,291049,291304
2971,292035,291543,291789
2976,292548,292036,292292
2981,293039,292533,292786
2986,293537,293030,293284
2991,294020,293525,293773
2996,294497,294016,294257
3001,295020,294515,294768
3006,295513,295003,295258
3011,296001,295497,295749
3016,296492,295998,296245
3021,296997,296493,296745
3026,297495,296988,297242
3031,297987,297484,297736
3036,298480,297978,298229
3041,298975,298465,298720
3046,299451,298967,299209
3051,299964,299457,299711
3056,300464,299961,300213
3061,300959,300455,300707
3066,301454,300951,301203
3071,301945,301446,301696
3076,302435,301939,302187
3081,302939,302434,302687
3086,303428,302930,303179
3091,303926,303424,303675
3096,304423,303919,304171
3101,304917,304401,304659
3106,305410,304909,305160
3111,305907,305404,305656
3116,306400,305898,306149
3121,306897,306396,306647
3126,307393,306889,307141
3131,307887,307386,307637
3136,308381,307881,308131
3141,308874,308375,308625
3146,309370,308871,309121
3151,309866,309364,309615
3156,310356,309857,310107
3161,310844,310357,310601
3166,311322,310842,311082
3171,311845,311304,311575
3176,312337,311841,312089
3181,312835,312335,312585
3186,313328,312831,313080
3191,313823,313327,313575
3196,314319,313821,314070
3201,314814,314313,314564
3206,315301,314812,315057
3211,315799,315305,315552
3216,316292,315799,316046
3221,316746,316290,316518
3226,317285,316790,317038
3231,317750,317287,317519
3236,318273,317779,318026
3241,318771,318265,318518
3246,319263,318773,319018
3251,319759,319248,319504
3256,320255,319757,320006
3261,320749,320255,320502
3266,321245,320751,320998
3271,321738,321248,321493
3276,322232,321740,321986
3281,322727,322231,322479
3286,323223,322730,322977
3291,323714,323223,323469
3296,324165,323717,323941
3301,324710,324214,324462
3306,325205,324708,324957
3311,325700,325204,325452
3316,326186,325699,325943
3321,326687,326163,326425
3326,327187,326687,326937
3331,327678,327164,327421
3336,328175,327676,327926
3341,328671,328176,328424
3346,329156,328670,328913
3351,329659,329150,329405
3356,330151,329641,329896
3361,330652,330157,330405
3366,331145,330651,330898
3371,331634,331145,331390
3376,332137,331629,331883
3381,332616,332133,332375
3386,333125,332604,332865
3391,333617,333124,333371
3396,334115,333614,333865
3401,334611,334111,334361
3406,335102,334605,334854
3411,335602,335103,335353
3416,336092,335598,335845
3421,336589,336090,336340
3426,337086,336578,336832
3431,337581,337081,337331
3436,338073,337570,337822
3441,338569,338066,338318
3446,339068,338558,338813
3451,339556,339050,339303
3456,340045,339554,339800
3461,340552,340048,340300
3466,341042,340516,340779
3471,341544,341027,341286
3476,342039,341529,341784
3481,342534,342028,342281
3486,343015,342523,342769
3491,343522,343013,343268
3496,344018,343498,343758
3501,344506,343999,344253
3506,345007,344484,344746
3511,345502,344955,345229
3516,345997,345479,345738
3521,346490,345987,346239
3526,346987,346482,346735
3531,347471,346972,347222
3536,347968,347473,347721
3541,348464,347965,348215
3546,348964,348460,348712
3551,349412,348956,349184
3556,349941,349452,349697
3561,350430,349947,350189
3566,350950,350441,350696
3571,351438,350937,351188
3576,351939,351432,351686
3581,352422,351927,352175
3586,352921,352422,352672
3591,353422,352917,353170
3596,353919,353411,353665
3601,354415,353907,354161
3606,354910,354401,354656
3611,355406,354897,355152
3616,355897,355390,355644
3621,356395,355882,356139
3626,356887,356380,356634
3631,357357,356875,357116
3636,357863,357363,357613
3641,358372,357866,358119
3646,358873,358352,358613
3651,359365,358853,359109
3656,359857,359351,359604
3661,360357,359820,360089
3666,360851,360323,360587
3671,361349,360833,361091
3676,361842,361179,361511
3681,362304,361640,361972
3686,362812,362152,362482
3691,363298,362647,362973
3696,363824,363140,363482
3701,364315,363636,363976
3706,364814,364126,364470
3711,365299,364609,364954
3716,365805,365121,365463
3721,366292,365616,365954
3726,366796,366109,366453
3731,367268,366605,366937
3736,367785,367102,367444
3741,368273,367598,367936
3746,368776,368091,368434
3751,369272,368587,368930
3756,369766,369081,369424
3761,370251,369531,369891
3766,370757,370056,370407
3771,371253,370565,370909
3776,371740,371062,371401
3781,372191,371557,371874
3786,372711,372051,372381
3791,373230,372547,372889
3796,373723,373039,373381
3801,374216,373534,373875
3806,374713,374001,374357
3811,375214,374523,374869
3816,375708,375022,375365
3821,376198,375516,375857
3826,376697,376012,376355
3831,377187,376505,376846
3836,377684,377001,377343
3841,378181,377498,377840
3846,378675,377986,378331
3851,379172,378487,378830
3856,379668,378981,379325
3861,380161,379476,379819
3866,380657,379971,380314
3871,381150,380401,380776
3876,381641,380946,381294
3881,382135,381457,381796
3886,382637,381951,382294
3891,383132,382397,382765
3896,383625,382935,383280
3901,384120,383434,383777
3906,384616,383931,384274
3911,385111,384426,384769
3916,385608,384920,385264
3921,386101,385413,385757
3926,386594,385911,386253
3931,387090,386403,386747
3936,387589,386902,387246
3941,388085,387386,387736
3946,388579,387890,388235
3951,389068,388384,388726
3956,389563,389375,389469
3961,390062,389871,389967
3966,390551,390369,390460
3971,391046,390860,390953
3976,391538,391358,391448
3981,392026,391852,391939
3986,392535,392349,392442
3991,393027,392844,392936
3996,393525,393340,393433
4001,394021,393797,393909
4006,394515,394329,394422
4011,395009,394824,394917
4016,395506,395320,395413
4021,395999,395811,395905
4026,396498,396309,396404
4031,396985,396803,396894
4036,397481,397300,397391
4041,397972,397795,397884
4046,398475,398278,398377
4051,398968,398787,398878
4056,399468,399282,399375
4061,399963,399773,399868
4066,400460,400273,400367
4071,400951,400768,400860
4076,401451,401263,401357
4081,401943,401757,401850
4086,402435,402252,402344
4091,402916,402749,402833
4096,403430,403244,403337
4101,403876,403736,403806
4106,404411,404235,404323
4111,404889,404730,404810
4116,405389,405222,405306
4121,405904,405718,405811
4126,406401,406214,406308
4131,406756,406710,406733
4136,407325,407207,407266
4141,407888,407698,407793
4146,408379,408196,408288
4151,408878,408681,408780
4156,409373,409189,409281
4161,409868,409684,409776
4166,410361,410180,410271
4171,410858,410676,410767
4176,411351,411170,411261
4181,411792,411665,411729
4186,412343,412160,412252
4191,412836,412656,412746
4196,413334,413150,413242
4201,413781,413648,413715
4206,414324,414135,414230
4211,414820,414636,414728
4216,415279,415131,415205
